的	〔白勹丶&nbsp;·&nbsp;unid〕
𠳄	〔工人人口&nbsp;·&nbsp;ujjd〕
𠳅	〔丿米口&nbsp;·&nbsp;tpdk〕
𠳆	〔戈口&nbsp;·&nbsp;updk〕
𠳇	〔口斤口&nbsp;·&nbsp;dtdk〕
𠳈	〔口㐅𠂇口&nbsp;·&nbsp;dbnd〕
𠳉	〔口勹日一&nbsp;·&nbsp;dnof〕
𠳊	〔可土厶&nbsp;·&nbsp;zgks〕
𠳋	〔㠯&nbsp;·&nbsp;cki〕
𠳌	〔土厶可&nbsp;·&nbsp;gkzk〕
𠳍	〔口而一&nbsp;·&nbsp;dlfi〕
𠳎	〔口亻人&nbsp;·&nbsp;djvj〕
𠳏	〔口扌止&nbsp;·&nbsp;dusi〕
𠳑	〔口扌卩&nbsp;·&nbsp;dubz〕
𠳒	〔口一大一&nbsp;·&nbsp;dfmf〕
𠳓	〔口广匕&nbsp;·&nbsp;dxvv〕
𠳔	〔口亻匚コ&nbsp;·&nbsp;djnn〕
𠳕	〔口扌𡭔丿&nbsp;·&nbsp;duyt〕
𠳖	〔口扌及&nbsp;·&nbsp;ducj〕
𠳗	〔口士冖几&nbsp;·&nbsp;dgwo〕
𠳘	〔口亻丨攵&nbsp;·&nbsp;djgh〕
𠳙	〔厶口亻弋&nbsp;·&nbsp;kdjp〕
𠳚	〔口己攵&nbsp;·&nbsp;dvhp〕
𠳛	〔氵攵口&nbsp;·&nbsp;khdk〕
𠳜	〔口丰&nbsp;·&nbsp;dawb〕
𠳝	〔口不口&nbsp;·&nbsp;dcdk〕
𠳞	〔口土厶卩&nbsp;·&nbsp;dgkz〕
𠳟	〔口王一儿&nbsp;·&nbsp;dnfp〕
𠳠	〔口儿&nbsp;·&nbsp;dppe〕
𠳡	〔口口口丨&nbsp;·&nbsp;dddg〕
𠳢	〔口心丿&nbsp;·&nbsp;dvht〕
𠳣	〔口罒十&nbsp;·&nbsp;dyns〕
𠳤	〔口止&nbsp;·&nbsp;dssi〕
𠳥	〔口山人工&nbsp;·&nbsp;dvju〕
𠳦	〔口罒又&nbsp;·&nbsp;dyry〕
𠳧	〔口龍&nbsp;·&nbsp;dtl〕
𠳨	〔口𠂉母&nbsp;·&nbsp;dekm〕
𠳩	〔口亻皮&nbsp;·&nbsp;djrp〕
𠳪	〔口勹口&nbsp;·&nbsp;dned〕
𠳫	〔古用&nbsp;·&nbsp;cty〕
𠳬	〔古古&nbsp;·&nbsp;ccg〕
𠳭	〔口古儿&nbsp;·&nbsp;dcpe〕
𠳮	〔𠂇口冂口&nbsp;·&nbsp;ndmd〕
𠳯	〔口一ㄅㄅ&nbsp;·&nbsp;dfaa〕
𠳰	〔口止夕&nbsp;·&nbsp;dslx〕
𠳱	〔口⺊囗乂&nbsp;·&nbsp;dyrb〕
𠳲	〔口日一&nbsp;·&nbsp;dofn〕
𠳳	〔口口木&nbsp;·&nbsp;ddem〕
𠳴	〔口口丨女&nbsp;·&nbsp;ddgb〕
𠳵	〔口口文&nbsp;·&nbsp;ddvw〕
𠳶	〔口禾几&nbsp;·&nbsp;dxoj〕
𠳷	〔口亻土厶&nbsp;·&nbsp;djgk〕
𠳸	〔口⺈丶木&nbsp;·&nbsp;dxie〕
𠳹	〔口广木&nbsp;·&nbsp;dxem〕
𠳺	〔口文口&nbsp;·&nbsp;dvdk〕
𠳻	〔口文夕&nbsp;·&nbsp;dvlx〕
𠳼	〔口宀木&nbsp;·&nbsp;dwem〕
𠳽	〔口穴丁&nbsp;·&nbsp;dead〕
𠳾	〔口冖八干&nbsp;·&nbsp;dwhe〕
𠳿	〔口尸毛&nbsp;·&nbsp;dcvm〕
𠴀	〔口弓弓一&nbsp;·&nbsp;dbbf〕
𠴁	〔口巳㇆口&nbsp;·&nbsp;dvad〕
𠴂	〔口女又力&nbsp;·&nbsp;dbrs〕
𠴃	〔口厶厶大&nbsp;·&nbsp;dkkm〕
𠴄	〔口糹乚&nbsp;·&nbsp;diae〕
𠴅	〔二丨谷&nbsp;·&nbsp;mghg〕
𠴆	〔口弋心&nbsp;·&nbsp;dphx〕
𠴇	〔口&nbsp;·&nbsp;dthb〕
𠴈	〔口宀𠂇厶&nbsp;·&nbsp;dwnk〕
𠴉	〔口阝二儿&nbsp;·&nbsp;dtmp〕
𠴊	〔口口丿口&nbsp;·&nbsp;ddtd〕
𠴋	〔口扌九力&nbsp;·&nbsp;duks〕
𠴌	〔口彐火&nbsp;·&nbsp;dbch〕
𠴍	〔口刀丶心&nbsp;·&nbsp;dpih〕
𠴎	〔口氵丿大&nbsp;·&nbsp;dktm〕
𠴏	〔口艹亡&nbsp;·&nbsp;dlfw〕
𠴐	〔口忄ヿ土&nbsp;·&nbsp;dhag〕
𠴑	〔口艹女&nbsp;·&nbsp;dlbn〕
𠴒	〔口亻亽龴&nbsp;·&nbsp;djjk〕
𠴓	〔口亻氏丶&nbsp;·&nbsp;djbi〕
𠴔	〔口口王&nbsp;·&nbsp;ddnw〕
𠴕	〔口女𡭔丿&nbsp;·&nbsp;dbyt〕
𠴖	〔口亻立&nbsp;·&nbsp;djil〕
𠴗	〔口木土&nbsp;·&nbsp;degt〕
𠴘	〔口木寸&nbsp;·&nbsp;dekc〕
𠴙	〔口扌巴&nbsp;·&nbsp;dumb〕
𠴚	〔口亻乍&nbsp;·&nbsp;djwa〕
𠴛	〔口穴力&nbsp;·&nbsp;desl〕
𠴜	〔口扌支&nbsp;·&nbsp;duci〕
𠴝	〔口氵王&nbsp;·&nbsp;dknw〕
𠴞	〔口亻丷&nbsp;·&nbsp;djhu〕
𠴟	〔口芈&nbsp;·&nbsp;dgy〕
𠴠	〔口亼冂人&nbsp;·&nbsp;djmj〕
𠴡	〔口白儿&nbsp;·&nbsp;dupe〕
𠴢	〔口士&nbsp;·&nbsp;dgcs〕
𠴣	〔口丷句&nbsp;·&nbsp;dhgj〕
𠴤	〔口土心&nbsp;·&nbsp;dghx〕
𠴥	〔口氵冖&nbsp;·&nbsp;dkwp〕
𠴦	〔句丶王&nbsp;·&nbsp;ginw〕
𠴧	〔口厶厶二&nbsp;·&nbsp;dkkm〕
𠴨	〔口宀㠯&nbsp;·&nbsp;dwki〕
𠴩	〔口&nbsp;·&nbsp;dzhb〕
𠴪	〔口尸巾又&nbsp;·&nbsp;dcrr〕
𠴫	〔口⺊一又&nbsp;·&nbsp;dyfr〕
𠴬	〔口木&nbsp;·&nbsp;dbem〕
𠴭	〔口日勹&nbsp;·&nbsp;done〕
𠴮	〔口八刀心&nbsp;·&nbsp;dhph〕
𠴯	〔口千人一&nbsp;·&nbsp;dljf〕
𠴰	〔口夂卜口&nbsp;·&nbsp;dhyd〕
𠴱	〔口囗古&nbsp;·&nbsp;drcg〕
𠴲	〔口水日&nbsp;·&nbsp;dkor〕
𠴳	〔口㐅𠂇⺝&nbsp;·&nbsp;dbnv〕
𠴴	〔口一巾辶&nbsp;·&nbsp;dfru〕
𠴵	〔口冖巾&nbsp;·&nbsp;dbwr〕
𠴶	〔口勹㐅儿&nbsp;·&nbsp;dnbp〕
𠴷	〔口㐅𠂇卩&nbsp;·&nbsp;dbnz〕
𠴸	〔氵皮口&nbsp;·&nbsp;krdk〕
𠴹	〔口氵立&nbsp;·&nbsp;dkil〕
𠴺	〔口丿囗儿&nbsp;·&nbsp;dtrp〕
𠴻	〔口阝𠂉也&nbsp;·&nbsp;dtee〕
𠴼	〔口至刂&nbsp;·&nbsp;dypd〕
𠴽	〔口亠夕夕&nbsp;·&nbsp;dzll〕
𠴾	〔口ヿ土土&nbsp;·&nbsp;dagg〕
𠴿	〔口丿囗井&nbsp;·&nbsp;dtrq〕
𠵀	〔口口口十&nbsp;·&nbsp;dddn〕
𠵁	〔⺆土口口&nbsp;·&nbsp;mgdd〕
𠵂	〔木木口&nbsp;·&nbsp;eedk〕
𠵃	〔口大&nbsp;·&nbsp;dmgy〕
𠵄	〔口罒一&nbsp;·&nbsp;dyfn〕
𠵅	〔口艹亻&nbsp;·&nbsp;dljv〕
𠵇	〔口大可&nbsp;·&nbsp;dmzk〕
𠵈	〔口女未&nbsp;·&nbsp;dbaw〕
𠵉	〔口木亠几&nbsp;·&nbsp;dezo〕
𠵊	〔⺷古&nbsp;·&nbsp;gcg〕
𠵋	〔口白工&nbsp;·&nbsp;duug〕
𠵌	〔口宀且&nbsp;·&nbsp;dwfq〕
𠵍	〔木斤口&nbsp;·&nbsp;etdk〕
𠵎	〔口女古&nbsp;·&nbsp;dbcg〕
𠵏	〔口匸亼口&nbsp;·&nbsp;dnjd〕
𠵐	〔口忄土厶&nbsp;·&nbsp;dhgk〕
𠵑	〔口尸㇆口&nbsp;·&nbsp;dcad〕
𠵒	〔口衣十&nbsp;·&nbsp;dtns〕
𠵓	〔丿囗丶丨&nbsp;·&nbsp;trig〕
𠵔	〔口䒑业&nbsp;·&nbsp;dhcy〕
𠵕	〔口土八土&nbsp;·&nbsp;dghg〕
𠵖	〔口戈戈&nbsp;·&nbsp;dppg〕
𠵗	〔口一ㄅ光&nbsp;·&nbsp;dfam〕
𠵘	〔口門&nbsp;·&nbsp;dam〕
𠵙	〔口山亼龴&nbsp;·&nbsp;dvjk〕
𠵚	〔口山厂干&nbsp;·&nbsp;dvxe〕
𠵛	〔口口口ㄅ&nbsp;·&nbsp;ddda〕
𠵜	〔口冂䒑亡&nbsp;·&nbsp;dmhf〕
𠵝	〔口⺿牙&nbsp;·&nbsp;dlly〕
𠵞	〔⺧口勹&nbsp;·&nbsp;qdne〕
𠵟	〔口牜木&nbsp;·&nbsp;dqem〕
𠵠	〔口一不口&nbsp;·&nbsp;dfcd〕
𠵡	〔口井井&nbsp;·&nbsp;dqqj〕
𠵢	〔口二&nbsp;·&nbsp;dmch〕
𠵣	〔口車乚&nbsp;·&nbsp;dyae〕
𠵤	〔十田厶口&nbsp;·&nbsp;nqkd〕
𠵥	〔五五口&nbsp;·&nbsp;wwdk〕
𠵦	〔五口𠂉十&nbsp;·&nbsp;wden〕
𠵧	〔辰口&nbsp;·&nbsp;fdk〕
𠵨	〔口日一寸&nbsp;·&nbsp;dofk〕
𠵩	〔口田木&nbsp;·&nbsp;dqem〕
𠵪	〔口口工乂&nbsp;·&nbsp;ddub〕
𠵫	〔口日卩&nbsp;·&nbsp;dobz〕
𠵬	〔口口口又&nbsp;·&nbsp;dddr〕
𠵭	〔口口乚⺝&nbsp;·&nbsp;ddav〕
𠵮	〔口牜牛&nbsp;·&nbsp;dqqn〕
𠵯	〔口舌刂&nbsp;·&nbsp;dapd〕
𠵰	〔口𠂉光&nbsp;·&nbsp;demg〕
𠵱	〔口亻衣&nbsp;·&nbsp;djti〕
𠵲	〔⺁一口可&nbsp;·&nbsp;xfdz〕
𠵳	〔⺁一口又&nbsp;·&nbsp;xfdr〕
𠵴	〔口亼口卩&nbsp;·&nbsp;djdz〕
𠵵	〔亼口丷&nbsp;·&nbsp;jdhu〕
𠵶	〔口㐅凵又&nbsp;·&nbsp;dbmr〕
𠵷	〔口六厶儿&nbsp;·&nbsp;dakp〕
𠵸	〔口弓小&nbsp;·&nbsp;dbxy〕
𠵹	〔口冂䒑山&nbsp;·&nbsp;dmhv〕
𠵺	〔口爫巴&nbsp;·&nbsp;dymb〕
𠵻	〔口宀示&nbsp;·&nbsp;dwfs〕
𠵼	〔口子皿&nbsp;·&nbsp;dham〕
𠵽	〔口氵土厶&nbsp;·&nbsp;dkgk〕
𠵾	〔口一田凵&nbsp;·&nbsp;dfqm〕
𠵿	〔口扌皮&nbsp;·&nbsp;durp〕
𠶀	〔口冖八木&nbsp;·&nbsp;dwhe〕
𠶁	〔口〢&nbsp;·&nbsp;dpuh〕
𠶂	〔口乂乂攵&nbsp;·&nbsp;dbbh〕
𠶃	〔口王二儿&nbsp;·&nbsp;dnmp〕
𠶄	〔口子可&nbsp;·&nbsp;dhzk〕
𠶅	〔口扌刀口&nbsp;·&nbsp;dupd〕
𠶆	〔口亻十辶&nbsp;·&nbsp;djnu〕
𠶇	〔口巾丶&nbsp;·&nbsp;drik〕
𠶈	〔口礻土&nbsp;·&nbsp;dfgt〕
𠶉	〔口亻㇒几&nbsp;·&nbsp;djto〕
𠶊	〔口土皮&nbsp;·&nbsp;dgrp〕
𠶋	〔口艹人&nbsp;·&nbsp;dljp〕
𠶌	〔口斤辶&nbsp;·&nbsp;dtuc〕
𠶍	〔口木冖&nbsp;·&nbsp;dewp〕
𠶎	〔口彳皮&nbsp;·&nbsp;dwrp〕
𠶏	〔口禾&nbsp;·&nbsp;dxbj〕
𠶐	〔口卩辶&nbsp;·&nbsp;dbzu〕
𠶑	〔口米凵&nbsp;·&nbsp;dpmk〕
𠶒	〔口忄日一&nbsp;·&nbsp;dhof〕
𠶓	〔口龶&nbsp;·&nbsp;dati〕
𠶔	〔口忄又土&nbsp;·&nbsp;dhrg〕
𠶕	〔口氵刀口&nbsp;·&nbsp;dkpd〕
𠶖	〔口木王&nbsp;·&nbsp;denw〕
𠶗	〔口十一&nbsp;·&nbsp;dnqf〕
𠶘	〔可歹刂&nbsp;·&nbsp;zgpd〕
𠶙	〔口艹不&nbsp;·&nbsp;dlcb〕
𠶚	〔口女可&nbsp;·&nbsp;dbzk〕
𠶛	〔口小&nbsp;·&nbsp;dgyx〕
𠶜	〔口牛巾刂&nbsp;·&nbsp;dqrp〕
𠶝	〔口一口&nbsp;·&nbsp;dfdb〕
𠶞	〔口忄生&nbsp;·&nbsp;dhls〕
𠶟	〔口扌甲&nbsp;·&nbsp;dusj〕
𠶠	〔口氵厶口&nbsp;·&nbsp;dkkd〕
𠶡	〔口石廾&nbsp;·&nbsp;dmlc〕
𠶢	〔口氵由&nbsp;·&nbsp;dkdy〕
𠶣	〔口木攵&nbsp;·&nbsp;dehp〕
𠶤	〔口尚&nbsp;·&nbsp;dss〕
𠶥	〔口穴弓&nbsp;·&nbsp;debg〕
𠶦	〔口广由&nbsp;·&nbsp;dxdy〕
𠶧	〔口广⺊口&nbsp;·&nbsp;dxyd〕
𠶨	〔口火&nbsp;·&nbsp;dvch〕
𠶩	〔口尸氏丶&nbsp;·&nbsp;dcbi〕
𠶪	〔口虍刀&nbsp;·&nbsp;dzpd〕
𠶫	〔口大乛水&nbsp;·&nbsp;dmak〕
𠶬	〔口口一龷&nbsp;·&nbsp;ddfl〕
𠶭	〔口女&nbsp;·&nbsp;dkbn〕
𠶮	〔士口古&nbsp;·&nbsp;gdcg〕
𠶯	〔口扌屮凵&nbsp;·&nbsp;dusm〕
𠶰	〔⺈丶⺆口&nbsp;·&nbsp;ximd〕
𠶱	〔可各&nbsp;·&nbsp;zsg〕
𠶲	〔口厂缶&nbsp;·&nbsp;dxaf〕
𠶳	〔戶殳口&nbsp;·&nbsp;mrdk〕
𠶴	〔口阝亠巾&nbsp;·&nbsp;dtzr〕
𠶵	〔口〢&nbsp;·&nbsp;dpph〕
𠶶	〔户口戈&nbsp;·&nbsp;mdpg〕
𠶷	〔立口丨口&nbsp;·&nbsp;idgd〕
𠶸	〔口谷卩&nbsp;·&nbsp;dhzj〕
𠶹	〔口糹𠂉乙&nbsp;·&nbsp;diea〕
𠶺	〔口一冂攴&nbsp;·&nbsp;dfmh〕
𠶻	〔口口耳&nbsp;·&nbsp;ddqe〕
𠶼	〔口目㇗巛&nbsp;·&nbsp;dqao〕
𠶽	〔口幺幺廾&nbsp;·&nbsp;diil〕
𠶾	〔口⺿可&nbsp;·&nbsp;dlzk〕
𠶿	〔口大羊&nbsp;·&nbsp;dmgy〕
𠷀	〔口而大&nbsp;·&nbsp;dlmd〕
𠷁	〔口䒑月刂&nbsp;·&nbsp;dhvp〕
𠷂	〔口厶口心&nbsp;·&nbsp;dkdh〕
𠷃	〔口穴人又&nbsp;·&nbsp;dejr〕
𠷄	〔口广缶&nbsp;·&nbsp;dxaf〕
𠷅	〔口⺿屮凵&nbsp;·&nbsp;dlsm〕
𠷆	〔口⺿乍&nbsp;·&nbsp;dlwa〕
𠷇	〔口方𠂉也&nbsp;·&nbsp;dlee〕
𠷈	〔口彳聿&nbsp;·&nbsp;dwbv〕
𠷉	〔口力口辶&nbsp;·&nbsp;dsdu〕
𠷊	〔口亻一&nbsp;·&nbsp;djfb〕
𠷋	〔口厂日子&nbsp;·&nbsp;dxoh〕
𠷌	〔口貝刂&nbsp;·&nbsp;dopd〕
𠷍	〔口氺㇗&nbsp;·&nbsp;dbka〕
𠷎	〔弓工工口&nbsp;·&nbsp;buud〕
𠷏	〔九丶冎口&nbsp;·&nbsp;kifd〕
𠷐	〔口忄一一&nbsp;·&nbsp;dhff〕
𠷑	〔口癶殳&nbsp;·&nbsp;dhrs〕
𠷒	〔口爪目&nbsp;·&nbsp;dyqm〕
𠷓	〔由一ㄅ八&nbsp;·&nbsp;dfah〕
𠷔	〔大口口亾&nbsp;·&nbsp;mddf〕
𠷕	〔口几一虫&nbsp;·&nbsp;dofc〕
𠷖	〔口丿之&nbsp;·&nbsp;detr〕
𠷗	〔文厂彡口&nbsp;·&nbsp;vxed〕
𠷘	〔口火禾&nbsp;·&nbsp;dcxh〕
𠷙	〔口目攵&nbsp;·&nbsp;dqhp〕
𠷚	〔口日一止&nbsp;·&nbsp;dofs〕
𠷛	〔口一㐅又&nbsp;·&nbsp;dfbr〕
𠷜	〔人人土句&nbsp;·&nbsp;jjgg〕
𠷝	〔口囗&nbsp;·&nbsp;drpm〕
𠷞	〔卵古&nbsp;·&nbsp;bcg〕
𠷟	〔口田人&nbsp;·&nbsp;dqjp〕
𠷠	〔石戈口&nbsp;·&nbsp;mpdk〕
𠷢	〔口亍&nbsp;·&nbsp;dawc〕
𠷣	〔口口虫&nbsp;·&nbsp;ddcc〕
𠷤	〔口月勹巳&nbsp;·&nbsp;dvnv〕
𠷥	〔口丁&nbsp;·&nbsp;dgad〕
𠷦	〔口力&nbsp;·&nbsp;dwps〕
𠷧	〔口戈一火&nbsp;·&nbsp;dpfc〕
𠷨	〔口戶&nbsp;·&nbsp;dmic〕
𠷩	〔口⺷女&nbsp;·&nbsp;dgbn〕
𠷪	〔口宀工口&nbsp;·&nbsp;dwud〕
𠷫	〔古口&nbsp;·&nbsp;cdti〕
𠷬	〔口束丷&nbsp;·&nbsp;dxhb〕
𠷭	〔口一ㄅ凵&nbsp;·&nbsp;dfam〕
𠷮	〔口龶母&nbsp;·&nbsp;dakm〕
𠷯	〔口目&nbsp;·&nbsp;dcqm〕
𠷰	〔口面&nbsp;·&nbsp;dbm〕
𠷱	〔一一口&nbsp;·&nbsp;ffbd〕
𠷲	〔口口寸&nbsp;·&nbsp;dbdk〕
𠷳	〔日夂卜口&nbsp;·&nbsp;ohyd〕
𠷴	〔口彳幺夊&nbsp;·&nbsp;dwih〕
𠷵	〔口糹寸&nbsp;·&nbsp;dikc〕
𠷶	〔口夂一生&nbsp;·&nbsp;dhfl〕
𠷷	〔丿大王口&nbsp;·&nbsp;tmnd〕
𠷸	〔口壴&nbsp;·&nbsp;dhu〕
𠷹	〔口木目&nbsp;·&nbsp;deqm〕
𠷺	〔口十冖力&nbsp;·&nbsp;dnws〕
𠷻	〔口西寸&nbsp;·&nbsp;dvkc〕
𠷼	〔口戊一小&nbsp;·&nbsp;dnfy〕
𠷽	〔口口木冂&nbsp;·&nbsp;ddem〕
𠷾	〔口目攴&nbsp;·&nbsp;dqhp〕
𠷿	〔口乍心&nbsp;·&nbsp;dwhx〕
𠸀	〔口夕六乂&nbsp;·&nbsp;dlab〕
𠸁	〔口氵⺁&nbsp;·&nbsp;dkxt〕
𠸂	〔口穴犬&nbsp;·&nbsp;demq〕
𠸃	〔口弓弓&nbsp;·&nbsp;dbbh〕
𠸄	〔口⺿大&nbsp;·&nbsp;dlmm〕
𠸅	〔口口歹又&nbsp;·&nbsp;ddgr〕
𠸆	〔冫欠士口&nbsp;·&nbsp;wegd〕
𠸇	〔口弓弓大&nbsp;·&nbsp;dbbm〕
𠸈	〔口口一土&nbsp;·&nbsp;ddfg〕
𠸉	〔口山各&nbsp;·&nbsp;dvsg〕
𠸊	〔口大耳&nbsp;·&nbsp;dmqe〕
𠸋	〔口⺿古&nbsp;·&nbsp;dlcg〕
𠸌	〔口丷豕&nbsp;·&nbsp;dhjs〕
𠸍	〔口⺷大&nbsp;·&nbsp;dgmd〕
𠸎	〔口女又手&nbsp;·&nbsp;dbru〕
𠸏	〔口⺿力口&nbsp;·&nbsp;dlsd〕
𠸐	〔口衤亼乛&nbsp;·&nbsp;dtja〕
𠸑	〔口⺌⺝刂&nbsp;·&nbsp;dyvp〕
𠸒	〔口亻口木&nbsp;·&nbsp;djde〕
𠸓	〔口扌舌&nbsp;·&nbsp;duas〕
𠸔	〔口艹亠巾&nbsp;·&nbsp;dlzr〕
𠸕	〔口儿幺月&nbsp;·&nbsp;dpiv〕
𠸖	〔口⺿亼龴&nbsp;·&nbsp;dljk〕
𠸗	〔衤刀古&nbsp;·&nbsp;tpcg〕
𠸘	〔口亻谷&nbsp;·&nbsp;djhg〕
𠸙	〔古王廾&nbsp;·&nbsp;cnlc〕
𠸚	〔口艹句&nbsp;·&nbsp;dlgj〕
𠸛	〔夕口⺧儿&nbsp;·&nbsp;ldqp〕
𠸜	〔⺧儿夕口&nbsp;·&nbsp;qpld〕
𠸝	〔口⺊龰&nbsp;·&nbsp;dybs〕
𠸞	〔口火⺊口&nbsp;·&nbsp;dcyd〕
𠸟	〔口不皿&nbsp;·&nbsp;dcam〕
𠸠	〔口亠口&nbsp;·&nbsp;dzcd〕
𠸡	〔口氵丿皿&nbsp;·&nbsp;dkta〕
𠸢	〔口一口田&nbsp;·&nbsp;dfdq〕
𠸣	〔口糹工&nbsp;·&nbsp;diug〕
𠸤	〔口彳土寸&nbsp;·&nbsp;dwgk〕
𠸥	〔口言十&nbsp;·&nbsp;dsns〕
𠸦	〔口龵目&nbsp;·&nbsp;duqm〕
𠸧	〔口忄各&nbsp;·&nbsp;dhsg〕
𠸨	〔口亻里&nbsp;·&nbsp;djdl〕
𠸩	〔口⺊貝&nbsp;·&nbsp;dyob〕
𠸪	〔口氵各&nbsp;·&nbsp;dksg〕
𠸫	〔口㇏大&nbsp;·&nbsp;daim〕
𠸬	〔口亻彐又&nbsp;·&nbsp;djbr〕
𠸭	〔日口&nbsp;·&nbsp;otdk〕
𠸮	〔由一ㄅㄅ&nbsp;·&nbsp;dfaa〕
𠸯	〔口匸日女&nbsp;·&nbsp;dnob〕
𠸰	〔口幺力欠&nbsp;·&nbsp;dise〕
𠸱	〔口口丨示&nbsp;·&nbsp;ddgf〕
𠸲	〔一厶厶口&nbsp;·&nbsp;fkkd〕
𠸳	〔口阝一亾&nbsp;·&nbsp;dtff〕
𠸴	〔口戈工八&nbsp;·&nbsp;dpuh〕
𠸵	〔口目一川&nbsp;·&nbsp;dqfo〕
𠸶	〔口口犬亡&nbsp;·&nbsp;ddmf〕
𠸷	〔口氵爫子&nbsp;·&nbsp;dkyh〕
𠸸	〔口辰口&nbsp;·&nbsp;dfdk〕
𠸹	〔口弋口彡&nbsp;·&nbsp;dpde〕
𠸺	〔口䒑辶&nbsp;·&nbsp;dhsu〕
𠸻	〔口聿廴&nbsp;·&nbsp;dbuy〕
𠸼	〔口一辶&nbsp;·&nbsp;dfpu〕
𠸽	〔口尸匕辶&nbsp;·&nbsp;dcvu〕
𠸾	〔口月丿之&nbsp;·&nbsp;dvtr〕
𠸿	〔⺊日匕口&nbsp;·&nbsp;yovd〕
𠹀	〔口子丿糸&nbsp;·&nbsp;dhti〕
𠹁	〔口瓜&nbsp;·&nbsp;deyg〕
𠹂	〔口疒匕&nbsp;·&nbsp;dasv〕
𠹃	〔口大皿&nbsp;·&nbsp;dmma〕
𠹄	〔口龴囗&nbsp;·&nbsp;dkrg〕
𠹅	〔口龷八⺗&nbsp;·&nbsp;dlhh〕
𠹆	〔口耳冖&nbsp;·&nbsp;dqwp〕
𠹇	〔口丿囗匕&nbsp;·&nbsp;dtrv〕
𠹈	〔口口里&nbsp;·&nbsp;dddl〕
𠹉	〔㇗日&nbsp;·&nbsp;saor〕
𠹊	〔口⺿日十&nbsp;·&nbsp;dlon〕
𠹋	〔口疒矢&nbsp;·&nbsp;daos〕
𠹌	〔口厶⺼匕&nbsp;·&nbsp;dkvv〕
𠹍	〔口宀谷&nbsp;·&nbsp;dwhg〕
𠹎	〔口亻木灬&nbsp;·&nbsp;djec〕
𠹏	〔口丶又虫&nbsp;·&nbsp;dirc〕
𠹐	〔口人人夊&nbsp;·&nbsp;djjh〕
𠹑	〔口自木&nbsp;·&nbsp;doem〕
𠹒	〔口宀口口&nbsp;·&nbsp;dwdd〕
𠹓	〔口戶缶&nbsp;·&nbsp;dmaf〕
𠹔	〔口广肀口&nbsp;·&nbsp;dxbd〕
𠹕	〔口豸勹丶&nbsp;·&nbsp;dmni〕
𠹖	〔口尸龷&nbsp;·&nbsp;dclt〕
𠹗	〔口扌斤口&nbsp;·&nbsp;dutd〕
𠹘	〔口⺊目夊&nbsp;·&nbsp;dyqh〕
𠹙	〔口丰刀手&nbsp;·&nbsp;dapu〕
𠹚	〔口口貝&nbsp;·&nbsp;ddob〕
𠹛	〔口山豆&nbsp;·&nbsp;dvzd〕
𠹜	〔口口口止&nbsp;·&nbsp;ddds〕
𠹝	〔木木九口&nbsp;·&nbsp;eekd〕
𠹞	〔口亼乛廾&nbsp;·&nbsp;djal〕
𠹟	〔宀口&nbsp;·&nbsp;wqhd〕
𠹠	〔口臼木&nbsp;·&nbsp;dpem〕
𠹡	〔口自王&nbsp;·&nbsp;donw〕
𠹢	〔士口殳口&nbsp;·&nbsp;gdrd〕
𠹣	〔口口工攵&nbsp;·&nbsp;dduh〕
𠹤	〔口土土心&nbsp;·&nbsp;dggh〕
𠹥	〔口⺜羽&nbsp;·&nbsp;dozv〕
𠹦	〔口匕糸&nbsp;·&nbsp;dvvi〕
𠹧	〔立大口&nbsp;·&nbsp;immd〕
𠹨	〔⺈尸口乍&nbsp;·&nbsp;xcdw〕
𠹩	〔丿口&nbsp;·&nbsp;btdk〕
𠹪	〔立口句&nbsp;·&nbsp;idgj〕
𠹫	〔土人人口&nbsp;·&nbsp;gjjd〕
𠹬	〔冎口二儿&nbsp;·&nbsp;fdmp〕
𠹭	〔口可&nbsp;·&nbsp;dzzk〕
𠹮	〔口匕用&nbsp;·&nbsp;dsvt〕
𠹯	〔口阝土&nbsp;·&nbsp;dtvg〕
𠹰	〔口貝丿之&nbsp;·&nbsp;dotr〕
𠹱	〔口氵匚木&nbsp;·&nbsp;dkne〕
𠹲	〔口氵耂日&nbsp;·&nbsp;dkqo〕
𠹳	〔口夕㐄木&nbsp;·&nbsp;dlve〕
𠹴	〔口丿阝&nbsp;·&nbsp;dbtt〕
𠹵	〔口日宀女&nbsp;·&nbsp;dowb〕
𠹶	〔口石干丷&nbsp;·&nbsp;dmeh〕
𠹷	〔口女丿戈&nbsp;·&nbsp;dbtp〕
𠹸	〔口亼乛衣&nbsp;·&nbsp;djat〕
𠹹	〔口亻侖&nbsp;·&nbsp;djjl〕
𠹺	〔口土里&nbsp;·&nbsp;dgdl〕
𠹻	〔口月䒑大&nbsp;·&nbsp;dvhm〕
𠹼	〔口宀辛&nbsp;·&nbsp;dwnx〕
𠹽	〔口艹亥&nbsp;·&nbsp;dlkh〕
𠹾	〔爫冖又口&nbsp;·&nbsp;ywrd〕
𠹿	〔口一幺土&nbsp;·&nbsp;dfig〕
𠺀	〔口宀火口&nbsp;·&nbsp;dwcd〕
𠺁	〔口弓冫冫&nbsp;·&nbsp;dbww〕
𠺂	〔口大龷&nbsp;·&nbsp;dmlt〕
𠺃	〔扌辰口&nbsp;·&nbsp;ufdk〕
𠺄	〔口大丷乚&nbsp;·&nbsp;dmha〕
